*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pewpew-10.4
*Date=12:26:58
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;61.3029;-73.5129;0;Bottom;Copper Fill5
2;;;41.0165;-75.342;0;Bottom;Hole12
3;;;47.2694;-47.6177;0;Bottom;Copper Fill14
4;;;44.9834;-69.2711;0;Bottom;Copper Fill21
5;;;39.4716;-62.3877;0;Bottom;Copper Fill17
6;;;67.0514;-53.4346;0;Bottom;Via22
7;;;29.7942;-49.5354;0;Bottom;Copper Fill28
8;;;84.7217;-69.2457;0;Bottom;Copper Fill45
9;;;17.8562;-59.2127;0;Bottom;Copper Fill24
10;;tactile_switch_tall;15.4515;-54.6769;0;Top;→
11;;;25.4762;-41.0264;0;Bottom;Copper Fill40
12;;;49.9872;-37.2417;0;Bottom;Copper Fill23
13;;;50.927;-70.7951;0;Bottom;Copper Fill18
14;;;93.9673;-6.83796;0;Bottom;Copper Fill7
15;;;48.6921;-69.943;0;Bottom;TXT2
16;;;59.9948;-44.0744;0;Bottom;Copper Fill39
17;;;83.8073;-67.3153;0;Bottom;Copper Fill2
18;;;-14.6049;-32.8563;0;Bottom;IMG7
19;;;84.1965;-69.627;0;Bottom;Hole4
20;;;50.0597;-44.6762;0;Bottom;IMG1
21;;;14.7574;-71.3285;0;Bottom;Copper Fill15
22;;;75.0062;-38.969;0;Bottom;Copper Fill42
23;;;57.5265;-75.342;0;Bottom;Hole17
24;;THT;94.039;-7.71454;0;Bottom;-
25;;;5.13903;-69.627;0;Bottom;Hole11
26;;;84.3026;-66.82;0;Bottom;Copper Fill4
27;;THT;6.40903;-7.71454;0;Bottom;+
28;;tactile_switch_tall;94.5215;-58.542;180;Top;o
